Visitor ID,Visitor: Last Visit,Number of Days Active,Number of Events,Visitor: Most recent browser name
anonymous-1760054878182,2025-10-09 20:07:58,1,3,Chrome
anonymous-1760054875490,2025-10-09 20:07:55,1,4,Chrome
anonymous-1760054243356,2025-10-09 20:04:43,1,7,Chrome
anonymous-1760054213790,2025-10-09 19:56:54,1,4,Chrome
anonymous-1760053194213,2025-10-09 19:39:54,1,3,Chrome
anonymous-1760053052550,2025-10-09 19:37:32,1,3,Chrome
anonymous-1760051933894,2025-10-09 19:18:54,1,3,Chrome
anonymous-1760049418641,2025-10-09 18:37:32,1,13,Chrome
anonymous-1760047716621,2025-10-09 18:08:37,1,4,Chrome
anonymous-1760042957150,2025-10-09 16:49:17,1,2,Chrome
anonymous-1760042600063,2025-10-09 16:43:20,1,2,Chrome
anonymous-1760041917634,2025-10-09 16:31:57,1,2,Chrome
anonymous-1760041543559,2025-10-09 16:25:43,1,2,Chrome
anonymous-1760041351025,2025-10-09 16:22:31,1,2,Chrome
anonymous-1760041332763,2025-10-09 16:22:13,1,2,Chrome
anonymous-1760041321544,2025-10-09 16:22:01,1,3,Chrome
anonymous-1760041319142,2025-10-09 16:22:01,1,4,Chrome
anonymous-1760041312038,2025-10-09 16:21:52,1,2,Chrome
anonymous-1760041136434,2025-10-09 16:18:56,1,8,Chrome
anonymous-1760041076551,2025-10-09 16:17:56,1,2,Chrome
anonymous-1760041037953,2025-10-09 16:17:18,1,2,Chrome
anonymous-1760040992579,2025-10-09 16:16:32,1,2,Chrome
anonymous-1760040643169,2025-10-09 16:10:43,1,2,Chrome
anonymous-1760040638656,2025-10-09 16:10:38,1,2,Chrome
46,2025-10-09 16:08:03,8,128,Safari
anonymous-1760040464302,2025-10-09 16:07:44,1,15,Safari
anonymous-1760040336870,2025-10-09 16:05:37,1,2,Chrome
anonymous-1760036780388,2025-10-09 15:06:20,1,2,Chrome
anonymous-1760034442835,2025-10-09 14:27:23,1,4,Edge
anonymous-1760024151182,2025-10-09 11:35:51,1,2,Chrome
anonymous-1760023680624,2025-10-09 11:28:00,1,2,Chrome
anonymous-1760022930218,2025-10-09 11:15:30,1,15,Chrome
